time,temp
0,21.702
60,21.724
120,21.775
180,21.783
240,21.788
300,21.792
360,21.794
370,21.797
380,21.887
390,22.012
400,22.273
410,22.611
420,22.843
430,23.106
440,23.239
450,23.379
460,23.545
470,23.649
480,23.772
490,23.845
500,23.902
510,23.977
520,24.030
530,24.079
540,24.115
550,24.154
560,24.176
570,24.199
580,24.229
590,24.240
600,24.267
610,24.272
620,24.291
630,24.301
640,24.312
650,24.320
660,24.332
670,24.336
680,24.343
690,24.348
700,24.353
710,24.353
720,24.362
780,24.377
840,24.379
900,24.384
960,24.385
1020,24.385
1080,24.384
1140,24.383
