time,temp
0,21.977
60,21.983
120,21.985
180,21.986
240,21.986
300,21.986
360,21.986
370,21.986
380,21.998
390,22.074
400,22.177
410,22.309
420,22.394
430,22.498
440,22.567
450,22.600
460,22.678
470,22.715
480,22.759
490,22.806
500,22.839
510,22.866
520,22.888
530,22.908
540,22.926
550,22.940
560,22.944
570,22.978
580,22.980
590,22.988
600,23.000
610,23.006
620,23.012
630,23.018
640,23.023
650,23.029
660,23.033
670,23.036
680,23.039
690,23.041
700,23.044
710,23.045
720,23.047
780,23.055
840,23.058
900,23.059
960,23.059
1020,23.059
1080,23.058
1140,23.058
