time,temp
0,21.744
60,22.017
120,22.076
180,22.099
240,22.111
300,22.117
360,22.121
370,22.122
380,22.140
390,22.290
400,22.348
410,22.457
420,22.555
430,22.625
440,22.703
450,22.794
460,22.814
470,22.878
480,22.927
490,22.959
500,22.987
510,23.020
520,23.040
530,23.061
540,23.082
550,23.092
560,23.109
570,23.125
580,23.131
590,23.144
600,23.153
610,23.162
620,23.165
630,23.174
640,23.178
650,23.181
660,23.187
670,23.190
680,23.192
690,23.195
700,23.199
710,23.201
720,23.203
780,23.211
840,23.215
900,23.217
960,23.217
1020,23.217
1080,23.217
1140,23.217
